pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
ddddd|aa,0.5,3.0,6.0,869,860,1.0,0,15.81,13.04,13.24,14.29,2.77,0.1938,0.107,0.3723,-0.2653,2.41,0.0158192970484039,2.26,0.023850788036198025,0.029850746268656716,3/4,0.75,False,False
bcccc|cb,0.5,2.0,4.0,444,444,0.0,0,14.86,19.37,19.3,20.0,-4.5,-0.2251,-0.2568,0.4415,-0.6983,-2.4,0.016331966072297078,-2.25,0.02460728760401749,0.024875621890547265,0/4,0.0,False,False
bccbb|ab,0.5,1.0,2.0,490,490,0.0,0,36.94,32.26,32.29,33.33,4.68,0.1404,0.1082,0.4381,-0.3299,2.22,0.02663467736339325,2.24,0.025223280622654422,0.029850746268656716,4/4,1.0,False,False
baaaa|ba,1.0,2.0,2.0,1019,994,2.5,0,35.71,32.45,32.45,33.33,3.26,0.0979,0.0714,0.2023,-0.1309,2.2,0.027817649377075374,2.23,0.025932776354059876,0.03482587064676617,4/4,1.0,False,False
caaaa|ab,1.0,1.0,1.0,480,479,0.2,0,54.7,49.3,49.29,50.0,5.4,0.108,0.0939,0.2059,-0.1119,2.37,0.018024903300565876,2.23,0.025554549729622882,0.03980099502487562,4/4,1.0,False,False
dcccd|bc,1.0,2.0,2.0,358,353,1.4,0,26.63,32.43,32.45,33.33,-5.8,-0.1741,-0.2011,0.2134,-0.4145,-2.33,0.01975779762792093,-2.22,0.0266451936649595,0.024875621890547265,0/4,0.0,False,False
bbccc|bc,0.5,2.0,4.0,393,390,0.8,0,14.87,19.36,19.3,20.0,-4.49,-0.2246,-0.2564,0.4337,-0.6901,-2.25,0.02468773933575142,-2.21,0.027432087813118237,0.03482587064676617,0/4,0.0,False,False
aabcc|cb,1.0,3.0,3.0,377,360,4.5,0,18.61,23.28,23.32,25.0,-4.67,-0.1867,-0.2556,0.2026,-0.4581,-2.1,0.03590626304806608,-2.21,0.027303886773877697,0.024875621890547265,1/4,0.25,False,False
dcccc|cb,0.5,3.0,6.0,334,328,1.8,0,9.15,13.36,13.24,14.29,-4.21,-0.2946,-0.3598,0.4256,-0.7853,-2.24,0.024950639976487395,-2.21,0.027339880948700702,0.029850746268656716,0/4,0.0,False,False
aaaaa|bc,0.5,2.0,4.0,1819,1810,0.5,0,17.4,19.32,19.3,20.0,-1.92,-0.0958,-0.1298,0.3825,-0.5124,-2.07,0.038837314086635176,-2.21,0.02700356189836551,0.014925373134328358,1/4,0.25,False,False
