symbol,position_id,side,lots,entry,exit,closed,sim_ccy,sim_acct,broker_profit,broker_commission,broker_swap,ticket,diff,abs_diff,rel
XAUUSD.a,313110934,sell,0.01,4071.6,4070.84,2026-08-05 00:00:34.250,0.7599999999997635,1.0786261708767577,1.08,0.0,0.0,275303424,-0.0013738291232423538,0.0013738291232423538,0.0012720640030021795
XAUUSD.a,313114930,sell,0.01,4073.24,4072.6,2026-08-05 00:05:46.548,0.6399999999998727,0.9083167754752663,0.91,0.0,0.0,275304449,-0.0016832245247336841,0.0016832245247336841,0.0018496972799271253
XAUUSD.a,313115962,sell,0.01,4073.35,4072.53,2026-08-05 00:09:58.664,0.819999999999709,1.1637808685775035,1.16,0.0,0.0,275305144,0.0037808685775035933,0.0037808685775035933,0.003259369463365167
XAUUSD.a,313117678,sell,0.01,4072.5,4072.2,2026-08-05 00:12:33.136,0.3000000000001819,0.42577348850437396,0.43,0.0,0.0,275305553,-0.004226511495626029,0.004226511495626029,0.009829096501455881
XAUUSD.a,313118166,sell,0.01,4073.0200000000004,4072.05,2026-08-05 00:14:20.635,0.9700000000002547,1.376667612830336,1.38,0.0,0.0,275305712,-0.0033323871696639973,0.0033323871696639973,0.002414773311350723
XAUUSD.a,313124893,sell,0.01,4080.34,4079.51,2026-08-05 00:32:02.049,0.8299999999999272,1.1779398824897493,1.18,0.0,0.0,275309521,-0.002060117510250592,0.002060117510250592,0.0017458622968225357
XAUUSD.a,313126365,sell,0.01,4080.67,4079.9,2026-08-05 00:41:05.493,0.7699999999999818,1.0927876018279097,1.09,0.0,0.0,275311252,0.0027876018279096026,0.0027876018279096026,0.002557432869641837
XAUUSD.a,313128948,sell,0.01,4080.24,4079.36,2026-08-05 00:42:27.921,0.8799999999996544,1.248900116374293,1.25,0.0,0.0,275311504,-0.00109988362570701,0.00109988362570701,0.0008799069005656079
XAUUSD.a,313129274,sell,0.01,4080.0499999999997,4079.15,2026-08-05 00:44:10.750,0.8999999999996362,1.2772842099282395,1.28,0.0,0.0,275311690,-0.002715790071760482,0.002715790071760482,0.0021217109935628767
XAUUSD.a,313132222,sell,0.01,4080.8600000000006,4079.16,2026-08-05 01:02:26.316,1.7000000000007276,2.4126479520886828,2.41,0.0,0.0,275315820,0.0026479520886826258,0.0026479520886826258,0.0010987353065073134
XAUUSD.a,313139475,sell,0.01,4082.85,4081.85,2026-08-05 01:09:28.958,1.0,1.4192046776986176,1.42,0.0,0.0,275317229,-0.0007953223013823507,0.0007953223013823507,0.0005600861277340498
XAUUSD.a,313140422,sell,0.01,4083.22,4081.29,2026-08-05 01:33:47.809,1.9299999999998363,2.7396871362459705,2.74,0.0,0.0,275323400,-0.0003128637540297241,0.0003128637540297241,0.00011418385183566573
XAUUSD.a,313152615,sell,0.01,4088.55,4088.34,2026-08-05 01:37:35.034,0.21000000000003638,0.2981006728558561,0.3,0.0,0.0,275324690,-0.0018993271441438697,0.0018993271441438697,0.006331090480479566
XAUUSD.a,313154335,sell,0.01,4089.2899999999995,4091.03,2026-08-05 01:41:07.748,-1.7400000000006912,-2.469977003663361,-2.4699999999999998,0.0,0.0,275325803,2.29963366389363e-05,2.29963366389363e-05,9.310257748557207e-06
XAUUSD.a,313941621,sell,0.01,4268.52,4243.5,2026-08-06 23:09:28.631,25.020000000000437,35.57312252964489,35.59,0.0,0.41,276159911,-0.016877470355112223,0.016877470355112223,0.0004742194536418157
XAUUSD.a,314211673,buy,0.01,4232.04,4233.6,2026-08-07 00:50:40.609,1.5600000000004002,2.218430034130262,2.22,0.0,0.0,276176378,-0.0015699658697383434,0.0015699658697383434,0.00070719183321547
XAUUSD.a,314211676,buy,0.01,4232.2,4233.93,2026-08-07 00:50:41.859,1.730000000000473,2.460182025029114,2.46,0.0,0.0,276176394,0.00018202502911401908,0.00018202502911401908,7.39939142739915e-05
XAUUSD.a,314276547,sell,0.01,4272.92,4271.75,2026-08-07 05:42:12.685,1.1700000000000728,1.664603696273952,1.6600000000000001,0.0,0.0,276237017,0.004603696273951963,0.004603696273951963,0.0027733110084047965
XAUUSD.a,314281442,sell,0.01,4279.33,4277.9,2026-08-07 05:52:17.023,1.430000000000291,2.0345156287795625,2.03,0.0,0.0,276239198,0.004515628779562686,0.004515628779562686,0.002224447674661422
USDJPY.a,314475372,buy,0.05,157.456,157.459,2026-08-07 13:31:57.495,15.000000000071623,0.1345301570192102,0.13,0.0,0.0,276421155,0.004530157019210196,0.004530157019210196,0.03484736168623227
XAUUSD.a,314475812,sell,0.01,4351.22,4350.01,2026-08-07 13:06:49.108,1.2100000000000364,1.7195560418946898,1.71,0.0,0.0,276407726,0.009556041894689837,0.009556041894689837,0.00558832859338587
XAUUSD.a,314479018,sell,0.01,4351.02,4348.5,2026-08-07 13:13:34.966,2.5200000000004366,3.5812241533679656,3.57,0.0,0.0,276410525,0.011224153367965783,0.011224153367965783,0.00314402055125092
XAUUSD.a,314481007,sell,0.01,4348.38,4344.47,2026-08-07 13:17:34.015,3.9099999999998545,5.553188467547018,5.53,0.0,0.0,276412308,0.02318846754701731,0.02318846754701731,0.0041932129379778135
XAUUSD.a,314483258,sell,0.01,4340.99,4324.1,2026-08-10 01:15:38.774,16.889999999999418,23.90692012625716,23.92,0.0,0.41,276613517,-0.013079873742842807,0.013079873742842807,0.0005468174641656691
