pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
baaaa|aa,0.5,1.0,2.0,407,407,0.0,0,35.87,32.2,32.15,33.33,3.67,0.1101,0.0762,0.2002,-0.124,1.59,0.11287971028170365,1.71,0.08808342709849962,0.0945273631840796,4/4,1.0,False,False
cdddd|bc,1.0,1.0,1.0,401,401,0.0,0,45.39,49.46,49.43,50.0,-4.08,-0.0815,-0.0923,0.1032,-0.1955,-1.63,0.10222924613200836,-1.7,0.08872087512444131,0.10945273631840796,1/4,0.25,False,False
aaaaa|aa,0.5,1.0,2.0,1443,1443,0.0,0,34.58,32.25,32.15,33.33,2.33,0.0699,0.0374,0.2007,-0.1633,1.9,0.057974769867518816,1.7,0.08955959293800057,0.0945273631840796,2/4,0.5,False,False
ddddd|ba,1.0,3.0,3.0,933,923,1.1,0,26.98,24.3,24.3,25.0,2.67,0.1069,0.0791,0.1003,-0.0212,1.9,0.0577568560230561,1.68,0.09266393277060697,0.10945273631840796,4/4,1.0,False,False
bcccc|bb,1.0,2.0,2.0,374,374,0.0,0,36.36,32.46,32.7,33.33,3.9,0.117,0.0909,0.1122,-0.0213,1.61,0.10671341239682178,1.68,0.09289831268195511,0.0945273631840796,3/4,0.75,False,False
cdddd|ca,0.5,1.0,2.0,362,362,0.0,0,36.19,32.18,32.15,33.33,4.01,0.1202,0.0856,0.2047,-0.119,1.63,0.10252185390874748,1.67,0.09584806371562735,0.11442786069651742,3/4,0.75,False,False
aaaaa|ba,1.0,1.0,1.0,1518,1518,0.0,0,51.38,49.51,49.43,50.0,1.87,0.0374,0.0277,0.1036,-0.0759,1.46,0.1444967470815304,1.66,0.09768298215120963,0.09950248756218906,4/4,1.0,False,False
baaaa|bb,0.5,2.0,4.0,391,391,0.0,0,16.62,19.59,19.37,20.0,-2.96,-0.1481,-0.1688,0.2122,-0.3809,-1.48,0.13956422851211836,-1.66,0.09647973781338329,0.0845771144278607,1/4,0.25,False,False
aaaaa|aa,1.0,1.0,1.0,1443,1443,0.0,0,51.98,49.58,49.43,50.0,2.4,0.0479,0.0395,0.1004,-0.0609,1.82,0.06834131507828471,1.63,0.10308314272160359,0.10945273631840796,3/4,0.75,False,False
cdddd|bc,0.5,2.0,4.0,401,401,0.0,0,15.96,19.37,19.37,20.0,-3.41,-0.1707,-0.202,0.2065,-0.4085,-1.73,0.08336110001721483,-1.63,0.10208798846356756,0.11442786069651742,1/4,0.25,False,False
aaaaa|ac,0.5,3.0,6.0,1502,1497,0.3,0,12.22,13.59,13.67,14.29,-1.36,-0.0954,-0.1443,0.1991,-0.3434,-1.54,0.1232540134588449,-1.62,0.10417805476156844,0.12437810945273632,0/4,0.0,False,False
aaabb|cb,0.5,3.0,6.0,548,548,0.0,0,16.06,13.67,13.67,14.29,2.39,0.1674,0.1241,0.2063,-0.0823,1.63,0.10278155746923012,1.61,0.10653201250835574,0.11442786069651742,3/4,0.75,False,False
cdddd|bc,0.5,1.0,2.0,401,401,0.0,0,28.18,32.14,32.15,33.33,-3.96,-0.1187,-0.1546,0.2065,-0.3611,-1.7,0.08952534882830993,-1.61,0.10783136420581008,0.11940298507462686,1/4,0.25,False,False
dddcc|ab,0.5,3.0,6.0,540,540,0.0,0,11.11,13.7,13.67,14.29,-2.59,-0.1814,-0.2222,0.2066,-0.4289,-1.75,0.07962310164088258,-1.6,0.11002873941720033,0.0945273631840796,1/4,0.25,False,False
dddcc|ab,1.0,1.0,1.0,540,540,0.0,0,52.41,49.39,49.43,50.0,3.02,0.0604,0.0481,0.1033,-0.0552,1.41,0.159825778421284,1.58,0.11460575036117676,0.11940298507462686,3/4,0.75,False,False
aaaaa|ca,1.0,3.0,3.0,1031,1022,0.9,0,22.21,24.32,24.3,25.0,-2.11,-0.0845,-0.1115,0.1013,-0.2128,-1.58,0.11468554113066318,-1.56,0.11896976176162699,0.13930348258706468,1/4,0.25,False,False
ddddd|ac,1.0,1.0,1.0,1129,1129,0.0,0,47.3,49.55,49.43,50.0,-2.25,-0.045,-0.054,0.1006,-0.1546,-1.51,0.12996199477905748,-1.55,0.12225908068742462,0.12437810945273632,1/4,0.25,False,False
ddddd|ba,0.5,2.0,4.0,933,933,0.0,0,21.44,19.43,19.37,20.0,2.01,0.1005,0.0718,0.2005,-0.1287,1.55,0.12030382560550629,1.55,0.12233243036615282,0.13930348258706468,3/4,0.75,False,False
ddddd|cc,1.0,1.0,1.0,1389,1389,0.0,0,47.23,49.62,49.43,50.0,-2.39,-0.0478,-0.0554,0.1002,-0.1557,-1.78,0.07432179774564714,-1.55,0.12076478142022357,0.14427860696517414,1/4,0.25,False,False
ccccc|cb,0.5,3.0,6.0,417,417,0.0,0,11.27,13.72,13.67,14.29,-2.45,-0.1714,-0.211,0.2289,-0.4399,-1.46,0.1455580210670189,-1.54,0.12395644561141425,0.11940298507462686,0/4,0.0,False,False
bbbbb|ba,0.5,2.0,4.0,375,375,0.0,0,22.4,19.31,19.37,20.0,3.09,0.1544,0.12,0.2225,-0.1025,1.52,0.1295775190500036,1.54,0.12323740805865752,0.12437810945273632,2/4,0.5,False,False
ddddd|ba,1.0,2.0,2.0,933,929,0.4,0,35.41,32.75,32.7,33.33,2.66,0.0798,0.0624,0.1003,-0.0378,1.73,0.08365895765174872,1.54,0.12241327486749307,0.11940298507462686,4/4,1.0,False,False
aaaaa|cb,0.5,3.0,6.0,935,933,0.2,0,15.11,13.57,13.67,14.29,1.55,0.1082,0.0579,0.1994,-0.1416,1.38,0.1675864452430037,1.53,0.1266008433379487,0.13432835820895522,3/4,0.75,False,False
ccccc|cb,1.0,2.0,2.0,417,417,0.0,0,29.26,32.64,32.7,33.33,-3.39,-0.1016,-0.1223,0.1144,-0.2367,-1.48,0.1397983113615883,-1.52,0.12882665710589006,0.13432835820895522,1/4,0.25,False,False
baaaa|ac,1.0,2.0,2.0,377,376,0.0,1,29.26,32.64,32.7,33.33,-3.38,-0.1015,-0.1223,0.1009,-0.2232,-1.4,0.16117613623141652,-1.52,0.12948903951105134,0.14427860696517414,1/4,0.25,False,False
cccbb|ab,1.0,1.0,1.0,389,389,0.0,0,52.7,49.02,49.43,50.0,3.68,0.0737,0.054,0.1129,-0.0589,1.45,0.14583103844269657,1.51,0.13126362644977216,0.13930348258706468,3/4,0.75,False,False
cdddd|bc,1.0,2.0,2.0,401,401,0.0,0,29.43,32.8,32.7,33.33,-3.37,-0.1011,-0.1172,0.1032,-0.2205,-1.44,0.15000912347541623,-1.49,0.13545044999895225,0.11940298507462686,0/4,0.0,False,False
