bar,occurred_at,dist_atr,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
20004,2021-03-22 17:00:00,,1h-S-2612,support,81.71,3,0.001955124891093491,1h,random,hold,EURUSD.a
685,2018-02-09 14:00:00,0.21825965838476782,1h-S-2613,support,80.91,3,0.001955124891093491,1h,line,hold,EURUSD.a
685,2018-02-09 14:00:00,0.21825965838476782,1h-S-2613,support,80.91,3,0.001955124891093491,1h,placebo,break,EURUSD.a
22346,2021-08-05 07:00:00,,1h-S-2613,support,80.91,3,0.001955124891093491,1h,random,hold,EURUSD.a
690,2018-02-09 19:00:00,0.09791802376406605,1h-S-2615,support,76.4,3,0.00217360444344019,1h,line,hold,EURUSD.a
690,2018-02-09 19:00:00,0.09791802376406605,1h-S-2615,support,76.4,3,0.00217360444344019,1h,placebo,hold,EURUSD.a
51951,2026-05-08 11:00:00,,1h-S-2615,support,76.4,3,0.00217360444344019,1h,random,hold,EURUSD.a
690,2018-02-09 19:00:00,0.06261438299398982,1h-S-2616,support,75.8,3,0.00217360444344019,1h,line,hold,EURUSD.a
690,2018-02-09 19:00:00,0.06261438299398982,1h-S-2616,support,75.8,3,0.00217360444344019,1h,placebo,break,EURUSD.a
4263,2018-09-06 19:00:00,,1h-S-2616,support,75.8,3,0.00217360444344019,1h,random,hold,EURUSD.a
716,2018-02-12 21:00:00,0.3767438384871385,1h-R-2758,resistance,93.78,4,0.0019181441945392975,1h,line,break,EURUSD.a
716,2018-02-12 21:00:00,0.3767438384871385,1h-R-2758,resistance,93.78,4,0.0019181441945392975,1h,placebo,break,EURUSD.a
28142,2022-07-08 19:00:00,,1h-R-2758,resistance,93.78,4,0.0019181441945392975,1h,random,hold,EURUSD.a
716,2018-02-12 21:00:00,0.33235706353286615,1h-R-2759,resistance,92.93,4,0.0019181441945392975,1h,line,break,EURUSD.a
716,2018-02-12 21:00:00,0.33235706353286615,1h-R-2759,resistance,92.93,4,0.0019181441945392975,1h,placebo,hold,EURUSD.a
3136,2018-07-03 20:00:00,,1h-R-2759,resistance,92.93,4,0.0019181441945392975,1h,random,break,EURUSD.a
716,2018-02-12 21:00:00,0.2879776572859994,1h-R-2760,resistance,92.53,4,0.0019181441945392975,1h,line,break,EURUSD.a
