i,side,reason,confluence,agreement,taken,quality
73362,-1,break_dn,0.111,partial,True,93.28
73379,1,break_up,-0.111,conflict,True,92.31
73402,1,break_up,-0.111,conflict,True,74.85
73433,-1,break_dn,0.111,partial,True,92.93
73468,-1,break_dn,0.111,partial,True,72.49
73489,1,break_up,-0.111,conflict,True,95.46
73497,1,break_up,0.111,partial,True,91.8
73520,1,break_up,0.333,partial,True,77.32
73570,-1,break_dn,0.111,partial,True,77.95
73612,1,break_up,-0.111,conflict,True,76.93
73620,-1,break_dn,0.111,partial,True,88.5
73716,-1,break_dn,0.111,partial,True,74.94
73779,1,break_up,-0.111,conflict,True,84.55
73857,-1,break_dn,0.111,partial,True,83.82
73863,-1,break_dn,0.111,partial,True,97.56
73957,1,break_up,-0.111,conflict,True,80.77
73980,-1,break_dn,0.111,partial,True,76.61
74024,-1,break_dn,0.111,partial,True,72.87
74086,1,break_up,-0.111,conflict,True,85.61
74191,-1,break_dn,-0.333,conflict,True,76.34
74203,-1,break_dn,-0.333,conflict,True,91.73
74258,-1,break_dn,0.111,partial,True,81.68
74267,-1,break_dn,0.111,partial,True,92.93
74314,1,break_up,-0.111,conflict,True,76.03
74324,-1,break_dn,0.111,partial,True,91.93
74351,-1,break_dn,0.111,partial,True,94.0
74429,-1,break_dn,0.111,partial,True,93.09
74497,-1,break_dn,0.111,partial,True,92.97
74523,-1,break_dn,0.111,partial,True,82.66
74660,1,break_up,-0.111,conflict,True,81.48
74682,-1,break_dn,0.111,partial,True,81.2
74711,1,break_up,-0.111,conflict,True,81.55
74788,1,break_up,0.333,partial,True,97.28
74792,1,break_up,0.333,partial,True,85.01
74841,-1,break_dn,0.111,partial,True,88.12
74927,1,break_up,-0.111,conflict,True,92.5
74961,1,break_up,0.222,partial,True,78.0
75002,1,break_up,0.556,partial,True,73.35
75111,-1,break_dn,-0.556,conflict,True,82.53
75147,-1,break_dn,-0.556,conflict,True,92.84
75188,-1,break_dn,-0.111,conflict,True,97.29
75329,1,break_up,-1.0,conflict,True,68.89
75383,1,break_up,-0.556,conflict,True,70.67
75410,1,break_up,-0.556,conflict,True,72.83
75441,1,break_up,-0.556,conflict,True,78.72
75467,1,break_up,-0.222,conflict,True,84.91
75507,1,break_up,0.556,partial,True,66.96
75520,1,break_up,0.556,partial,True,78.32
75532,1,break_up,0.556,partial,True,81.93
75561,1,break_up,0.556,partial,True,73.25
75598,1,break_up,1.0,full,True,72.37
75629,-1,break_dn,-1.0,conflict,True,85.14
75685,-1,break_dn,-1.0,conflict,True,87.38
75715,1,break_up,1.0,full,True,87.97
75748,1,break_up,1.0,full,True,71.04
75798,1,break_up,1.0,full,True,97.86
75808,1,break_up,1.0,full,True,87.02
75858,1,break_up,1.0,full,True,93.72
75901,1,break_up,1.0,full,True,77.15
75920,1,break_up,1.0,full,True,79.93
75965,1,break_up,1.0,full,True,86.97
75966,1,break_up,1.0,full,True,74.02
76045,1,break_up,1.0,full,True,72.37
76084,-1,break_dn,-1.0,conflict,True,83.62
76100,-1,break_dn,-1.0,conflict,True,84.82
76186,1,break_up,0.556,partial,True,99.49
76219,1,break_up,0.778,partial,True,83.35
76244,1,break_up,1.0,full,True,83.2
76274,1,break_up,1.0,full,True,79.04
76290,1,break_up,1.0,full,True,84.33
76312,1,break_up,1.0,full,True,70.34
76345,-1,break_dn,-1.0,conflict,True,95.28
76351,1,break_up,1.0,full,True,80.94
76377,-1,break_dn,-1.0,conflict,True,79.14
76395,-1,break_dn,-1.0,conflict,True,95.37
76423,-1,break_dn,-1.0,conflict,True,94.2
76432,-1,break_dn,-0.778,conflict,True,92.85
76440,-1,break_dn,-0.556,conflict,True,83.02
76487,-1,break_dn,-0.556,conflict,True,77.84
76525,-1,break_dn,-0.556,conflict,True,82.35
76554,1,break_up,0.556,partial,True,81.19
76665,-1,break_dn,-0.778,conflict,True,87.82
76706,1,break_up,0.556,partial,True,97.0
76728,1,break_up,0.778,partial,True,78.4
76798,1,break_up,1.0,full,True,83.01
76831,-1,break_dn,-1.0,conflict,True,84.01
76837,-1,break_dn,-1.0,conflict,True,95.98
76861,-1,break_dn,-1.0,conflict,True,72.92
76874,-1,break_dn,-0.556,conflict,True,81.85
76903,1,break_up,0.556,partial,True,75.56
76919,1,break_up,0.556,partial,True,93.29
77011,1,break_up,1.0,full,True,82.78
77043,1,break_up,1.0,full,True,70.23
77097,1,break_up,1.0,full,True,87.81
77140,-1,break_dn,-1.0,conflict,True,78.75
77180,1,break_up,1.0,full,True,75.34
77191,-1,break_dn,-1.0,conflict,True,78.43
77193,-1,break_dn,-1.0,conflict,True,76.86
77240,-1,break_dn,-0.556,conflict,True,73.37
77326,-1,break_dn,-0.556,conflict,True,79.26
77339,1,break_up,0.556,partial,True,86.01
77353,1,break_up,0.556,partial,True,78.17
77383,1,break_up,0.556,partial,True,84.45
77434,1,break_up,1.0,full,True,84.2
77460,1,break_up,1.0,full,True,68.95
77464,-1,break_dn,-1.0,conflict,True,79.3
77465,1,break_up,1.0,full,True,69.38
77474,-1,break_dn,-1.0,conflict,True,91.23
77502,1,break_up,1.0,full,True,75.72
77532,1,break_up,1.0,full,True,72.03
77557,1,break_up,1.0,full,True,78.81
77649,-1,break_dn,-1.0,conflict,True,90.57
77695,-1,break_dn,-0.556,conflict,True,72.27
