i,side,reason,confluence,agreement,taken,quality
24540,-1,retest,-0.778,conflict,True,88.04
24545,-1,retest,-0.778,conflict,True,79.07
24555,-1,retest,-0.556,conflict,True,96.07
24593,1,retest,0.556,partial,True,85.55
24616,1,retest,1.0,full,True,79.92
24693,1,retest,1.0,full,True,96.46
24776,1,retest,1.0,full,True,80.55
24831,1,retest,1.0,full,True,83.53
24838,1,retest,1.0,full,True,81.53
24866,1,retest,1.0,full,True,97.08
24920,-1,retest,-1.0,conflict,True,93.58
24947,-1,retest,-0.556,conflict,True,95.25
24982,1,retest,0.556,partial,True,86.23
25019,1,retest,1.0,full,True,94.65
25131,1,retest,1.0,full,True,82.65
25163,1,retest,1.0,full,True,89.46
25225,-1,retest,-1.0,conflict,True,95.15
25289,-1,retest,-1.0,conflict,True,77.93
25338,-1,retest,-0.556,conflict,True,72.24
25424,-1,retest,-0.556,conflict,True,72.86
25486,-1,retest,0.111,partial,True,80.22
25502,-1,retest,0.111,partial,True,89.47
25564,-1,retest,0.111,partial,True,87.07
25611,1,retest,-0.111,conflict,True,80.52
25631,1,retest,-0.111,conflict,True,83.21
25719,-1,retest,0.111,partial,True,89.49
25750,-1,retest,0.111,partial,True,83.47
25790,-1,retest,0.111,partial,True,82.44
25848,-1,retest,0.111,partial,True,96.44
25888,-1,retest,0.111,partial,True,86.39
25929,-1,retest,0.111,partial,True,72.42
26031,1,retest,-0.111,conflict,True,81.93
26080,1,retest,0.333,partial,True,79.08
26148,1,retest,0.333,partial,True,78.25
26168,-1,retest,-0.333,conflict,True,79.7
26180,-1,retest,-0.333,conflict,True,82.13
26199,-1,retest,-0.111,conflict,True,70.94
26222,1,retest,0.111,partial,True,89.59
26241,1,retest,0.333,partial,True,92.74
26258,1,retest,0.333,partial,True,83.09
26270,1,retest,0.333,partial,True,73.23
26314,1,retest,0.333,partial,True,81.11
26358,1,retest,0.333,partial,True,76.51
26433,1,retest,0.667,partial,True,94.88
26464,-1,retest,-0.667,conflict,True,79.39
26527,-1,retest,0.111,partial,True,74.65
26556,1,retest,-0.111,conflict,True,83.72
26649,-1,retest,-0.222,conflict,True,83.74
26691,-1,retest,0.111,partial,True,80.58
26739,1,retest,-0.111,conflict,True,87.93
26836,1,retest,-0.111,conflict,True,86.1
26916,-1,retest,-0.333,conflict,True,81.93
26926,-1,retest,-0.111,conflict,True,71.33
26932,-1,retest,0.111,partial,True,80.01
26970,-1,retest,0.111,partial,True,97.21
27086,1,retest,-0.111,conflict,True,94.43
27118,-1,retest,0.111,partial,True,80.22
27177,1,retest,-0.111,conflict,True,85.17
27199,-1,retest,0.111,partial,True,72.93
27205,-1,retest,0.111,partial,True,76.44
27210,-1,retest,0.111,partial,True,79.41
27237,-1,retest,0.111,partial,True,79.01
27325,1,retest,-0.111,conflict,True,74.05
27337,1,retest,-0.111,conflict,True,78.51
27355,1,retest,0.333,partial,True,89.58
27389,1,retest,0.333,partial,True,80.55
27418,-1,retest,-0.333,conflict,True,76.25
27448,1,retest,0.333,partial,True,90.69
27464,1,retest,0.333,partial,True,78.5
27535,1,retest,0.333,partial,True,93.57
27544,1,retest,0.333,partial,True,73.89
27575,1,retest,0.667,partial,True,83.73
27594,1,retest,1.0,full,True,77.24
27617,1,retest,1.0,full,True,84.2
27631,1,retest,1.0,full,True,83.46
27655,-1,retest,-1.0,conflict,True,79.61
27685,1,retest,1.0,full,True,88.74
27805,-1,retest,-1.0,conflict,True,72.45
27842,1,retest,0.778,partial,True,82.54
27983,1,retest,1.0,full,True,82.98
28149,-1,retest,0.111,partial,True,82.83
28192,1,retest,-0.111,conflict,True,76.26
28228,1,retest,-0.111,conflict,True,79.17
28254,1,retest,0.333,partial,True,79.28
28275,1,retest,0.333,partial,True,85.99
28383,1,retest,1.0,full,True,92.42
28389,1,retest,1.0,full,True,82.08
28403,1,retest,1.0,full,True,88.34
28453,1,retest,1.0,full,True,71.2
28512,-1,retest,-1.0,conflict,True,88.68
28541,-1,retest,-1.0,conflict,True,93.34
28557,1,retest,1.0,full,True,83.63
28637,1,retest,1.0,full,True,74.21
28653,1,retest,1.0,full,True,61.27
