i,side,reason,confluence,agreement,taken,quality
48993,-1,break_dn,-0.222,conflict,True,81.19
49015,1,break_up,0.222,partial,True,73.24
49032,-1,break_dn,-0.222,conflict,True,74.11
49047,1,break_up,0.222,partial,True,90.21
49062,1,break_up,0.222,partial,True,77.35
49083,1,break_up,0.444,partial,True,96.5
49113,1,break_up,0.667,partial,True,79.97
49118,1,break_up,0.667,partial,True,89.02
49179,1,break_up,1.0,full,True,74.91
49193,1,break_up,1.0,full,True,83.98
49270,-1,break_dn,-1.0,conflict,True,78.54
49305,1,break_up,1.0,full,True,74.79
49348,1,break_up,1.0,full,True,80.06
49367,-1,break_dn,-1.0,conflict,True,81.65
49419,-1,break_dn,-1.0,conflict,True,93.59
49457,1,break_up,1.0,full,True,82.82
49480,1,break_up,1.0,full,True,93.84
49497,1,break_up,1.0,full,True,80.37
49557,1,break_up,1.0,full,True,78.87
49599,-1,break_dn,-1.0,conflict,True,68.72
49660,1,break_up,1.0,full,True,91.03
49740,1,break_up,1.0,full,True,84.01
49791,1,break_up,1.0,full,True,72.82
49806,1,break_up,1.0,full,True,96.14
49824,-1,break_dn,-1.0,conflict,True,93.0
49862,1,break_up,1.0,full,True,74.04
49879,1,break_up,1.0,full,True,70.95
49890,-1,break_dn,-1.0,conflict,True,86.66
49949,1,break_up,1.0,full,True,79.78
50026,1,break_up,1.0,full,True,97.1
50033,1,break_up,1.0,full,True,73.9
50066,1,break_up,1.0,full,True,94.68
50105,1,break_up,1.0,full,True,81.77
