i,side,reason,confluence,agreement,taken,quality,dist_atr
36354,-1,bounce_resistance,0.111,partial,True,95.63,0.4525617417706391
36358,-1,bounce_resistance,0.111,partial,True,93.61,0.3140808726862333
36385,-1,bounce_resistance,0.111,partial,True,84.48,0.024657304762491478
36398,-1,bounce_resistance,0.111,partial,True,82.84,0.2225211186178734
36424,-1,bounce_resistance,0.111,partial,True,88.58,0.3575141641356625
36433,-1,bounce_resistance,0.111,partial,True,84.3,0.04996158116192622
36467,-1,bounce_resistance,0.111,partial,True,90.4,0.14238387249762374
36487,-1,bounce_resistance,0.111,partial,True,83.91,0.1864846686831793
36512,-1,bounce_resistance,0.111,partial,True,91.28,0.4638683646459217
36562,1,bounce_support,-0.111,conflict,True,82.51,0.38611831583669526
36606,1,bounce_support,-0.556,conflict,True,86.44,0.08382832531992755
36618,-1,bounce_resistance,0.556,partial,True,92.92,0.20008112730538735
36640,-1,bounce_resistance,0.556,partial,True,92.42,0.09545874135246127
36672,1,bounce_support,-0.556,conflict,True,66.45,0.21600715587499586
36702,-1,bounce_resistance,0.556,partial,True,68.37,0.36716198603610545
36707,-1,bounce_resistance,0.556,partial,True,84.56,0.49690223751736273
36714,-1,bounce_resistance,0.556,partial,True,84.42,0.494460508930334
36727,1,bounce_support,-0.556,conflict,True,81.31,0.370399780633356
36743,1,bounce_support,-0.556,conflict,True,93.71,0.30291292560487554
36750,1,bounce_support,-0.556,conflict,True,99.86,0.0007327309002160662
36759,-1,bounce_resistance,0.556,partial,True,68.35,0.4616045529236482
36809,-1,bounce_resistance,0.556,partial,True,94.86,0.11570381179424818
36815,1,bounce_support,-0.556,conflict,True,100.0,0.34235471233956594
36838,1,bounce_support,-0.556,conflict,True,97.53,0.22753670745537585
36914,1,bounce_support,-0.556,conflict,True,95.83,0.24312310590664962
36936,1,bounce_support,-0.556,conflict,True,93.82,0.49775439306346947
36941,1,bounce_support,-0.556,conflict,True,96.44,0.2212726088445821
36993,-1,bounce_resistance,0.778,partial,True,85.6,0.07251899946542494
37002,-1,bounce_resistance,1.0,full,True,96.0,0.09359551942257399
37007,-1,bounce_resistance,0.778,partial,True,99.31,0.042035058782375505
37067,-1,bounce_resistance,1.0,full,True,99.08,0.10045952876701639
